Dates,Current Market Cap,DEBT_TO_MKT_CAP,Debt
2019/11/22,60028.7475,0.2431,14592.98852
2019/11/25,60623.5555,0.2407,14592.08981
2019/11/26,59286.1387,0.2462,14596.24735
2019/11/27,59713.319,0.2444,14593.93516
2019/11/29,59469.9884,0.2454,14593.93515
2019/12/2,60358.5956,0.2418,14594.70842
2019/12/3,60598.3213,0.2408,14592.07577
2019/12/4,60026.9451,0.2431,14592.55035
2019/12/5,59547.4937,0.2451,14595.09071
2019/12/6,60542.4454,0.2411,14596.78359
2019/12/9,61198.5366,0.2385,14595.85098
2019/12/10,62876.6163,0.2321,14593.66264
2019/12/11,63572.3614,0.2296,14596.21418
2019/12/12,64830.4705,0.2251,14593.33891
2019/12/13,64597.9547,0.2259,14592.67797
2019/12/16,68763.4133,0.2122,14591.5963
2019/12/17,68310.9987,0.2136,14591.22932
2019/12/18,70863.2659,0.2059,14590.74645
2019/12/19,72826.1324,0.2004,14594.35693
2019/12/20,73105.512,0.1996,14591.8602
2019/12/23,75562.2494,0.1931,14591.07036
2019/12/24,76649.1259,0.1904,14593.99357
2019/12/26,77674.7191,0.1879,14595.07972
2019/12/27,77573.782,0.1881,14591.62839
2019/12/30,74747.5426,0.1952,14590.72032
2019/12/31,75401.8314,0.1937,14605.33474
2020/1/2,77552.1526,0.1883,14603.07033
2020/1/3,79850.2745,0.1829,14604.61521
2020/1/6,81387.7632,0.1794,14600.96472
2020/1/7,84545.6531,0.1727,14601.03429
2020/1/8,88705.7044,0.1646,14600.95894
2020/1/9,86759.0599,0.1683,14601.54978
2020/1/10,86184.0789,0.1694,14599.58297
2020/1/13,94603.3162,0.1544,14606.75202
2020/1/14,96957.314,0.1506,14601.77149
2020/1/15,93456.9589,0.1563,14607.32268
2020/1/16,92553.9321,0.1578,14605.01049
2020/1/17,92015,0.1587,14602.7805
2020/1/21,98629.9863,0.1481,14607.10097
2020/1/22,102660.2613,0.1422,14598.28916
2020/1/23,103136.1077,0.1416,14604.07285
2020/1/24,101805.9007,0.1434,14598.96616
2020/1/27,100580.2357,0.1452,14604.25022
2020/1/28,102180.81,0.1429,14601.63775
