Date,TSLA US Equity Price,TSLA US Equity Implied Vol
11/20/20,489.61,71.5176
11/19/20,499.27,76.3255
11/18/20,486.64,71.007
11/17/20,441.61,64.8351
11/16/20,408.09,56.0848
11/13/20,408.5,56.3657
11/12/20,411.76,55.7475
11/11/20,417.13,54.3273
11/10/20,410.36,57.6988
11/09/20,421.26,55.6511
11/06/20,429.95,54.4111
11/05/20,438.09,57.84
11/04/20,420.98,58.4828
11/03/20,423.9,64.4531
11/02/20,400.51,66.0354
10/30/20,388.04,64.3116
10/29/20,410.83,60.1182
10/28/20,406.02,61.7061
10/27/20,424.68,58.8217
10/26/20,420.28,61.8584
10/23/20,420.63,58.8243
10/22/20,425.79,62.8521
10/21/20,422.64,74.7087
10/20/20,421.94,76.6255
10/19/20,430.83,76.9418
10/16/20,439.67,77.9748
10/15/20,448.88,80.2859
10/14/20,461.3,80.5528
10/13/20,446.65,77.7707
10/12/20,442.3,76.3122
10/09/20,434,77.3346
10/08/20,425.92,82.1358
10/07/20,425.3,81.9843
10/06/20,413.98,85.8442
10/05/20,425.68,85.428
10/02/20,415.09,90.8744
10/01/20,448.16,91.2349
09/30/20,429.01,88.7193
09/29/20,419.07,91.6095
09/28/20,421.2,92.7676
09/25/20,407.34,92.9637
09/24/20,387.79,98.6822
09/23/20,380.36,100.9491
09/22/20,424.23,115.3972
09/21/20,449.39,123.8096
09/18/20,442.15,126.7067
09/17/20,423.43,123.3867
09/16/20,441.76,120.8273
09/15/20,449.76,119.5904
09/14/20,419.62,107.4698
09/11/20,372.72,102.7684
09/10/20,371.34,104.9893
09/09/20,366.28,110.8984
09/08/20,330.21,129.8386
09/04/20,418.32,127.0794
09/03/20,407,126.9828
09/02/20,447.37,127.6684
09/01/20,475.05,125.5085
08/31/20,498.32,111.2782
08/28/20,442.68,98.0435
08/27/20,447.75,92.6522
08/26/20,430.634,83.7773
08/25/20,404.668,83.2044
08/24/20,402.84,84.3839
08/21/20,409.996,79.0459
08/20/20,400.366,73.4215
08/19/20,375.706,70.0162
08/18/20,377.418,71.9344
08/17/20,367.128,73.835
08/14/20,330.142,69.6762
08/13/20,324.2,71.2257
08/12/20,310.952,72.1721
08/11/20,274.878,65.3095
08/10/20,283.714,65.6018
08/07/20,290.542,64.1564
08/06/20,297.916,63.4012
08/05/20,297.004,65.5299
08/04/20,297.4,67.3504
08/03/20,297,69.7772
07/31/20,286.152,70.8793
07/30/20,297.498,68.3678
07/29/20,299.822,68.1275
07/28/20,295.298,75.2246
07/27/20,307.92,75.7693
07/24/20,283.4,75.5555
07/23/20,302.614,76.6258
07/22/20,318.466,103.8591
07/21/20,313.672,103.6999
07/20/20,328.6,109.8491
07/17/20,300.168,105.5256
07/16/20,300.128,117.7731
07/15/20,309.202,126.4483
07/14/20,303.36,124.9843
07/13/20,299.412,124.3812
07/10/20,308.93,105.7568
07/09/20,278.856,94.2288
07/08/20,273.176,92.1178
07/07/20,277.972,94.1745
07/06/20,274.316,92.1233
07/02/20,241.732,75.0454
07/01/20,223.926,77.9402
06/30/20,215.962,78.1765
06/29/20,201.87,78.8474
06/26/20,191.948,70.7846
06/25/20,197.196,69.0385
06/24/20,192.17,69.5078
06/23/20,200.356,66.1185
06/22/20,198.864,66.0562
06/19/20,200.18,64.8163
06/18/20,200.792,68.0129
06/17/20,198.358,68.2181
