Date,2Y,3Y,4Y,5Y
11/20/2020,0.2505,0.2942,0.3578,0.4402
11/19/2020,0.2502,0.2944,0.3564,0.438
11/18/2020,0.2577,0.3034,0.3709,0.4582
11/17/2020,0.2593,0.3014,0.3619,0.4431
11/16/2020,0.2634,0.3128,0.3822,0.4719
11/13/2020,0.2626,0.31,0.3784,0.4668
11/12/2020,0.259,0.3029,0.366,0.4501
11/11/2020,0.2609,0.3153,0.403,0.5007
11/10/2020,0.2605,0.315,0.4011,0.5074
11/9/2020,0.2501,0.3019,0.383,0.4836
11/6/2020,0.237,0.2775,0.3404,0.4226
11/5/2020,0.2323,0.266,0.3202,0.3946
11/4/2020,0.2328,0.2642,0.3177,0.3936
11/3/2020,0.2434,0.2854,0.3568,0.4518
11/2/2020,0.2369,0.276,0.343,0.4324
10/30/2020,0.2375,0.2815,0.3546,0.4485
10/29/2020,0.2352,0.2767,0.3455,0.4339
10/28/2020,0.2342,0.2689,0.3282,0.4072
10/27/2020,0.2321,0.2648,0.323,0.4014
10/26/2020,0.2371,0.2754,0.339,0.4215
10/23/2020,0.2391,0.2829,0.3557,0.4463
10/22/2020,0.2378,0.2834,0.3546,0.4455
10/21/2020,0.2308,0.2724,0.3415,0.4299
10/20/2020,0.2317,0.271,0.3334,0.4157
10/19/2020,0.232,0.2712,0.3325,0.4128
10/16/2020,0.2315,0.2677,0.3248,0.4004
10/15/2020,0.2301,0.265,0.3206,0.3946
10/14/2020,0.2305,0.2611,0.3119,0.382
10/13/2020,0.2329,0.2639,0.3141,0.3836
10/12/2020,0.2385,0.2751,0.3363,0.4125
10/9/2020,0.2406,0.277,0.3367,0.4135
10/8/2020,0.2394,0.277,0.3377,0.4159
10/7/2020,0.2385,0.2745,0.3358,0.4154
10/6/2020,0.2353,0.2648,0.3152,0.3843
10/5/2020,0.2304,0.2637,0.3233,0.4014
10/2/2020,0.2212,0.2442,0.2912,0.3575
10/1/2020,0.223,0.2442,0.2859,0.3477
9/30/2020,0.22,0.2402,0.2825,0.3458
9/29/2020,0.2205,0.2376,0.2746,0.3327
9/28/2020,0.2234,0.2396,0.2761,0.3355
9/25/2020,0.2225,0.239,0.2772,0.3383
9/24/2020,0.2296,0.2438,0.2827,0.3438
9/23/2020,0.2241,0.2374,0.2756,0.3365
9/22/2020,0.217,0.2279,0.2677,0.3302
9/21/2020,0.219,0.2305,0.268,0.3276
9/18/2020,0.2217,0.238,0.2793,0.3432
9/17/2020,0.2157,0.2309,0.272,0.336
9/16/2020,0.2196,0.2329,0.2751,0.3389
9/15/2020,0.2225,0.235,0.2728,0.3325
9/14/2020,0.2176,0.2283,0.2655,0.3245
9/11/2020,0.2112,0.2195,0.2565,0.3151
9/10/2020,0.2203,0.2302,0.2704,0.331
9/9/2020,0.23,0.2426,0.2817,0.342
9/8/2020,0.2276,0.2388,0.274,0.3311
9/7/2020,0.227,0.2498,0.2966,0.3486
9/4/2020,0.2312,0.25,0.2979,0.3651
9/3/2020,0.2209,0.2313,0.2663,0.3212
9/2/2020,0.2249,0.2352,0.2687,0.3229
9/1/2020,0.2213,0.232,0.266,0.3219
8/31/2020,0.2218,0.2354,0.2736,0.334
8/28/2020,0.2233,0.2374,0.2762,0.3376
8/27/2020,0.2473,0.2652,0.3083,0.372
8/26/2020,0.233,0.2478,0.2854,0.3435
8/25/2020,0.2288,0.2466,0.284,0.3413
8/24/2020,0.2204,0.2362,0.2711,0.3253
8/21/2020,0.2189,0.2301,0.2624,0.315
8/20/2020,0.2193,0.2307,0.2656,0.3209
8/19/2020,0.2185,0.2312,0.2678,0.326
8/18/2020,0.2188,0.2304,0.2667,0.3242
8/17/2020,0.2295,0.2424,0.2809,0.34
8/14/2020,0.234,0.2495,0.2907,0.3525
8/13/2020,0.2431,0.2599,0.3022,0.3635
8/12/2020,0.2366,0.2517,0.292,0.3526
8/11/2020,0.2303,0.2435,0.2771,0.331
8/10/2020,0.218,0.2234,0.2532,0.3035
8/7/2020,0.2117,0.2175,0.2455,0.2945
8/6/2020,0.1971,0.2005,0.2255,0.27
8/5/2020,0.1942,0.1977,0.224,0.2706
8/4/2020,0.1834,0.1808,0.2014,0.2432
8/3/2020,0.1879,0.1909,0.2185,0.2671
7/31/2020,0.1789,0.1801,0.2055,0.2512
7/30/2020,0.1925,0.1967,0.2251,0.2728
7/29/2020,0.2078,0.2127,0.2434,0.293
7/28/2020,0.2175,0.2231,0.2527,0.3026
7/27/2020,0.2199,0.2304,0.266,0.3219
7/24/2020,0.2123,0.2217,0.2563,0.3088
7/23/2020,0.2105,0.2189,0.253,0.3054
7/22/2020,0.215,0.223,0.2571,0.3093
7/21/2020,0.2116,0.2193,0.252,0.3042
7/20/2020,0.2191,0.2267,0.2613,0.3144
7/17/2020,0.2255,0.234,0.2696,0.3249
7/16/2020,0.2228,0.2297,0.2634,0.317
7/15/2020,0.2273,0.2345,0.2703,0.3264
7/14/2020,0.2255,0.2333,0.269,0.3246
7/13/2020,0.2218,0.2286,0.2647,0.321
7/10/2020,0.2185,0.2303,0.2759,0.3408
7/9/2020,0.2159,0.2238,0.2607,0.3176
7/8/2020,0.2217,0.2299,0.2695,0.3298
7/7/2020,0.2177,0.2248,0.2595,0.3151
7/6/2020,0.2229,0.2314,0.2707,0.3318
7/3/2020,0.2202,0.233,0.2696,0.332
7/2/2020,0.2271,0.2314,0.2723,0.332
7/1/2020,0.2312,0.242,0.2824,0.3451
6/30/2020,0.2251,0.2305,0.267,0.3262
6/29/2020,0.2266,0.2289,0.2608,0.3145
6/26/2020,0.2397,0.2456,0.2812,0.3405
6/25/2020,0.2547,0.2625,0.3042,0.3687
6/24/2020,0.2502,0.2584,0.2984,0.3611
6/23/2020,0.2526,0.2628,0.306,0.3724
6/22/2020,0.2538,0.2646,0.3102,0.3764
6/19/2020,0.2556,0.2656,0.3045,0.3651
6/18/2020,0.2583,0.268,0.3077,0.3689
6/17/2020,0.2618,0.272,0.3154,0.3805
6/16/2020,0.266,0.2773,0.3236,0.3922
6/15/2020,0.2656,0.279,0.3248,0.3914
6/12/2020,0.2656,0.2735,0.315,0.378
6/11/2020,0.2767,0.2811,0.3162,0.3711
6/10/2020,0.2638,0.2732,0.3152,0.3788
6/9/2020,0.291,0.3164,0.3744,0.4504
6/8/2020,0.3069,0.3425,0.4095,0.4923
6/5/2020,0.296,0.3422,0.419,0.5093
6/4/2020,0.2744,0.3028,0.3668,0.448
6/3/2020,0.2668,0.2867,0.3364,0.4039
6/2/2020,0.2468,0.2603,0.3027,0.364
6/1/2020,0.2477,0.259,0.2999,0.358
5/29/2020,0.2514,0.2627,0.3028,0.3596
5/28/2020,0.2668,0.2831,0.3272,0.3885
5/27/2020,0.272,0.286,0.328,0.3858
5/26/2020,0.2677,0.2782,0.3226,0.3835
5/25/2020,0.2611,0.271,0.314,0.375
5/22/2020,0.262,0.276,0.3151,0.3725
5/21/2020,0.2561,0.2712,0.3129,0.3716
5/20/2020,0.2513,0.2673,0.3111,0.3725
5/19/2020,0.256,0.2684,0.3096,0.37
5/18/2020,0.2704,0.286,0.3374,0.405
5/15/2020,0.248,0.2531,0.29,0.3466
5/14/2020,0.2515,0.2508,0.282,0.3334
5/13/2020,0.262,0.2587,0.2899,0.3413
5/12/2020,0.2619,0.2587,0.2926,0.3476
5/11/2020,0.2595,0.2639,0.3013,0.3591
5/8/2020,0.2562,0.26,0.2968,0.3544
5/7/2020,0.2425,0.2455,0.28,0.3335
5/6/2020,0.2962,0.3073,0.3454,0.4
5/5/2020,0.3126,0.3243,0.3633,0.4186
5/4/2020,0.3157,0.3213,0.3564,0.4071
5/1/2020,0.324,0.3245,0.3525,0.3974
4/30/2020,0.3203,0.325,0.361,0.413
4/29/2020,0.3365,0.3386,0.3726,0.4212
4/28/2020,0.3555,0.3532,0.3854,0.4316
4/27/2020,0.3786,0.3779,0.4148,0.4674
4/24/2020,0.384,0.3777,0.4074,0.4514
4/23/2020,0.3985,0.3836,0.409,0.4505
4/22/2020,0.4041,0.3895,0.4154,0.4585
4/21/2020,0.4096,0.3871,0.4065,0.4445
4/20/2020,0.4216,0.4007,0.4209,0.4607
4/17/2020,0.4161,0.402,0.431,0.4782
4/16/2020,0.4253,0.4116,0.4383,0.4815
4/15/2020,0.4101,0.3962,0.4225,0.4657
4/14/2020,0.4388,0.4414,0.4892,0.552
4/13/2020,0.4652,0.4688,0.5203,0.5858
4/10/2020,0.4654,0.4589,0.501,0.5631
4/9/2020,0.4639,0.4589,0.5067,0.548
4/8/2020,0.5109,0.5044,0.5474,0.6045
4/7/2020,0.5179,0.5071,0.538,0.583
4/6/2020,0.4917,0.4813,0.511,0.5535
4/3/2020,0.4698,0.4464,0.4703,0.506
4/2/2020,0.4601,0.4348,0.4623,0.5025
4/1/2020,0.4782,0.4512,0.4728,0.51
3/31/2020,0.4903,0.4612,0.4844,0.5239
3/30/2020,0.5035,0.4836,0.5066,0.544
3/27/2020,0.4981,0.464,0.4792,0.5076
3/26/2020,0.5044,0.502,0.5465,0.5969
3/25/2020,0.519,0.5246,0.5681,0.6159
3/24/2020,0.5203,0.5212,0.5532,0.5933
3/23/2020,0.488,0.4685,0.4845,0.5137
3/20/2020,0.5055,0.4987,0.5185,0.5478
3/19/2020,0.6145,0.6268,0.6711,0.725
3/18/2020,0.5835,0.6335,0.7198,0.8053
3/17/2020,0.5623,0.628,0.7175,0.7968
3/16/2020,0.4415,0.4813,0.5438,0.601
3/13/2020,0.529,0.6093,0.6996,0.7824
3/12/2020,0.4671,0.5073,0.5747,0.6324
3/11/2020,0.5013,0.5639,0.6486,0.7218
3/10/2020,0.5733,0.6219,0.671,0.7121
3/9/2020,0.4733,0.4999,0.5325,0.5608
3/6/2020,0.6442,0.6652,0.7012,0.7363
3/5/2020,0.6854,0.6916,0.716,0.7455
3/4/2020,0.7528,0.7695,0.8048,0.8457
3/3/2020,0.7673,0.7597,0.7799,0.8098
3/2/2020,0.9618,0.9554,0.9786,1.0094
2/28/2020,0.985,0.9513,0.9601,0.9815
2/27/2020,1.107,1.0704,1.0702,1.0848
2/26/2020,1.2092,1.1654,1.1583,1.1689
2/25/2020,1.249,1.193,1.1776,1.182
2/24/2020,1.2656,1.2085,1.1922,1.1958
2/21/2020,1.3668,1.3151,1.301,1.3053
2/20/2020,1.4118,1.362,1.3487,1.3533
2/19/2020,1.4527,1.4084,1.396,1.4019
2/18/2020,1.437,1.3917,1.3803,1.3877
2/17/2020,1.4647,1.418,1.4091,1.414
2/14/2020,1.4587,1.414,1.4037,1.412
2/13/2020,1.4758,1.4375,1.4305,1.4418
