Date,Price
11/20/2020,166.61
11/19/2020,167.53
11/18/2020,170.62
11/17/2020,170.6
11/16/2020,173.11
11/13/2020,174.595
11/12/2020,177.07
11/11/2020,172.54
11/10/2020,172.54
11/9/2020,175.145
11/6/2020,187.38
11/5/2020,186.865
11/4/2020,196.925
11/3/2020,210.24
11/2/2020,211.84
10/30/2020,207.325
10/29/2020,210.73
10/28/2020,206.78
10/27/2020,202.31
10/26/2020,199.975
10/23/2020,192.47
10/22/2020,196.815
10/21/2020,195.78
10/20/2020,189.1
10/19/2020,195.57
10/16/2020,194.28
10/15/2020,204.03
10/14/2020,195.86
10/13/2020,192.345
10/12/2020,197.825
10/9/2020,197.83
10/8/2020,205.455
10/7/2020,208.78
10/6/2020,218.215
10/5/2020,220.21
10/2/2020,230.31
10/1/2020,232.215
9/30/2020,230.54
9/29/2020,237.47
9/28/2020,220.745
9/25/2020,240.075
9/24/2020,232.875
9/23/2020,206.21
9/22/2020,202.48
9/21/2020,195.11
9/18/2020,176.35
9/17/2020,178.935
9/16/2020,175.665
9/15/2020,179.595
9/14/2020,179.76
9/11/2020,177.585
9/10/2020,178.93
9/9/2020,179.915
9/8/2020,192.465
9/7/2020,173.115
9/4/2020,173.11
9/3/2020,174.35
9/2/2020,167.27
9/1/2020,168.09
8/31/2020,197.69
8/28/2020,190.41
8/27/2020,190.505
8/26/2020,196.92
8/25/2020,209.34
8/24/2020,216.77
8/21/2020,215.12
8/20/2020,218.245
8/19/2020,232.25
8/18/2020,230.41
8/17/2020,234.58
8/14/2020,233.83
8/13/2020,234.25
8/12/2020,224.835
8/11/2020,227.42
8/10/2020,225.875
8/7/2020,225.565
8/6/2020,225.945
8/5/2020,228.475
8/4/2020,228.29
8/3/2020,232.61
7/31/2020,235.47
7/30/2020,236.245
7/29/2020,237.515
7/28/2020,244.215
7/27/2020,241.06
7/24/2020,245.45
7/23/2020,244.565
7/22/2020,254.29
7/21/2020,279.565
7/20/2020,292.755
7/17/2020,290.865
7/16/2020,286.51
7/15/2020,286.095
7/14/2020,271.935
7/13/2020,270.055
7/10/2020,256.74
7/9/2020,249.735
7/8/2020,243.135
7/7/2020,240.215
7/6/2020,237.58
7/3/2020,231.47
7/2/2020,231.47
7/1/2020,264.135
6/30/2020,268.335
6/29/2020,272.99
6/26/2020,260.765
6/25/2020,263.715
6/24/2020,251.2
6/23/2020,234.23
6/22/2020,229.935
6/19/2020,232.015
6/18/2020,231.895
6/17/2020,216.965
6/16/2020,212.725
6/15/2020,232.415
6/12/2020,228.84
6/11/2020,237.065
6/10/2020,209.155
6/9/2020,210.78
6/8/2020,205.23
6/5/2020,201.835
6/4/2020,225.5
6/3/2020,228.725
6/2/2020,234.5
6/1/2020,240.18
5/29/2020,241.835
5/28/2020,234.05
5/27/2020,233.925
5/26/2020,240.385
5/25/2020,250.095
5/22/2020,250.09
5/21/2020,251.46
5/20/2020,246.4
5/19/2020,249.445
5/18/2020,250.08
5/15/2020,287.17
5/14/2020,267.05
5/13/2020,272.76
5/12/2020,263.18
5/11/2020,272.18
5/8/2020,261.03
5/7/2020,266.085
5/6/2020,272.875
5/5/2020,281.18
5/4/2020,276.41
5/1/2020,262.055
4/30/2020,224.465
4/29/2020,261.48
4/28/2020,271.64
4/27/2020,273.21
4/24/2020,305.72
4/23/2020,295.675
4/22/2020,279.1
4/21/2020,290.74
4/20/2020,284.055
4/17/2020,292.365
4/16/2020,267.325
4/15/2020,259.335
4/14/2020,279.155
4/13/2020,282.48
4/10/2020,278.325
4/9/2020,278.335
4/8/2020,330.45
4/7/2020,339.105
4/6/2020,384.325
4/3/2020,414.23
4/2/2020,441.82
4/1/2020,446.745
3/31/2020,420.585
3/30/2020,411.965
3/27/2020,406.105
3/26/2020,393.125
3/25/2020,400.505
3/24/2020,464.96
3/23/2020,522.94
3/20/2020,517.85
3/19/2020,519.56
3/18/2020,522.45
3/17/2020,403.835
3/16/2020,403.915
3/13/2020,328.175
3/12/2020,283.91
3/11/2020,283.885
3/10/2020,259.655
3/9/2020,308.82
3/6/2020,240.065
3/5/2020,202.41
3/4/2020,190.115
3/3/2020,192.8
3/2/2020,212.1
2/28/2020,203.295
2/27/2020,203.295
2/26/2020,191.08
2/25/2020,181.135
2/24/2020,166.825
2/21/2020,149.8
2/20/2020,142.915
2/19/2020,144.2
2/18/2020,153.66
2/17/2020,155.065
2/14/2020,155.075
2/13/2020,157.505
2/12/2020,169.095
2/11/2020,175.86
2/10/2020,185.475
2/7/2020,190.19
2/6/2020,176.18
2/5/2020,176.495
2/4/2020,134.155
2/3/2020,145.765
1/31/2020,166.945
1/30/2020,152.1
1/29/2020,183.765
1/28/2020,182.775
1/27/2020,193.12
1/24/2020,182.71
1/23/2020,175.325
1/22/2020,170.065
1/21/2020,189.05
1/20/2020,199.235
1/17/2020,199.24
1/16/2020,194.005
1/15/2020,195.365
1/14/2020,203.955
1/13/2020,205.09
1/10/2020,209.6
1/9/2020,213.425
1/8/2020,217.88
1/7/2020,241.395
1/6/2020,246.89
1/3/2020,253.57
1/2/2020,259.745
1/1/2020,269.785
12/31/2019,269.8
12/30/2019,269.795
12/27/2019,271.425
12/26/2019,271.425
12/25/2019,269.49
12/24/2019,269.52
12/23/2019,269.52
12/20/2019,273.015
12/19/2019,266.07
12/18/2019,268.835
12/17/2019,267.815
12/16/2019,272.365
12/13/2019,268.34
12/12/2019,268.87
12/11/2019,276.45
12/10/2019,277.805
12/9/2019,277.88
12/6/2019,277.52
12/5/2019,284.61
12/4/2019,286.995
12/3/2019,291.39
12/2/2019,283.93
11/29/2019,292.33
11/28/2019,292.33
11/27/2019,282.48
11/26/2019,275
11/25/2019,284.52
11/22/2019,296.985
